tipo,insumo,unidad,precio,fecha,fuente,evidencia
material,Tubería PVC 4 pulg,m,,,,
material,Curva PVC 4 pulg,unidad,,,,
material,Conector PVC 4 pulg,unidad,,,,
material,Pegamento para PVC,unidad,,,,
material,Madera,m2,,,,
material,Listones de madera 2x2,m2,,,,
material,Clavos de acero 2 1/2 pulg,unidad,,,,
material,Desencofrante,unidad,,,,
material,Cemento Portland,saco,,,,
material,Arena lavada,m3,,,,
material,Piedra picada,m3,,,,
material,Agua,m3,,,,
material,Material granular,m3,,,,
equipo,Retroexcavadora,,,,,
equipo,Pico,,,,,
equipo,Pala,,,,,
equipo,Camión de volteo,,,,,
equipo,Vehículo de transporte,,,,,
equipo,Segueta,,,,,
equipo,Cinta métrica,,,,,
equipo,Sierra circular eléctrica,,,,,
equipo,Martillo,,,,,
equipo,Nivel de mano,,,,,
equipo,Alicate,,,,,
equipo,Mezcladora de concreto,,,,,
equipo,Vibrador de concreto,,,,,
equipo,Carretilla,,,,,
equipo,Tobos plásticos,,,,,
equipo,Compactadora de percusión tipo sapo,,,,,
equipo,Herramientas menores,,,,,
mano_obra,Operador de equipo de 1ra,,,,,
mano_obra,Ayudante,,,,,
mano_obra,Chofer de 2da,,,,,
mano_obra,Chofer de 4ta,,,,,
mano_obra,"Maestro (electricista, según el APU original)",,,,,
mano_obra,Carpintero de 1ra,,,,,
mano_obra,Albañil de 1ra,,,,,
